commit_id,project,fold,our_actionable_ratio,baseline_actionable_ratio
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,9,0.8,0.6
726bd103a6749409a33a61a724305fe85a344bc8,camel,9,0.6,0.6
b2bb23a2d76395d5f139c6d21faa8c100fa4e8c7,camel,10,0.4,0.6
a8407f8aa67ef04395a55c9f1aaadf4a945b416d,camel,10,0.6,0.6
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,10,0.6,0.6
18a110cc4e78968b623564fe02484d54af7f906f,camel,10,0.6,0.6
726bd103a6749409a33a61a724305fe85a344bc8,camel,10,0.6,0.6
a8407f8aa67ef04395a55c9f1aaadf4a945b416d,camel,11,0.4,0.4
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,11,0.4,0.6
726bd103a6749409a33a61a724305fe85a344bc8,camel,11,0.6,0.6
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,12,0.6,0.6
18a110cc4e78968b623564fe02484d54af7f906f,camel,12,0.6,0.6
726bd103a6749409a33a61a724305fe85a344bc8,camel,12,0.6,0.6
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,13,0.6,0.6
e4ad40f2eebb68cfde175b171538e26b278f63f6,camel,13,0.4,0.6
726bd103a6749409a33a61a724305fe85a344bc8,camel,13,0.6,0.6
a8407f8aa67ef04395a55c9f1aaadf4a945b416d,camel,14,0.6,0.4
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,14,0.6,0.6
18a110cc4e78968b623564fe02484d54af7f906f,camel,14,0.6,0.6
726bd103a6749409a33a61a724305fe85a344bc8,camel,14,0.6,0.6
a8407f8aa67ef04395a55c9f1aaadf4a945b416d,camel,15,0.6,0.4
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,15,0.8,0.6
18a110cc4e78968b623564fe02484d54af7f906f,camel,15,0.8,0.6
726bd103a6749409a33a61a724305fe85a344bc8,camel,15,0.6,0.6
3e3790365d9a807eedabd81392e4a76a818723de,camel,15,0.6,0.6
a8407f8aa67ef04395a55c9f1aaadf4a945b416d,camel,16,0.4,0.4
726bd103a6749409a33a61a724305fe85a344bc8,camel,16,0.6,0.6
2ac341d32163788783add4faf3b12816e6b5118a,camel,16,0.4,0.6
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,17,0.4,0.8
726bd103a6749409a33a61a724305fe85a344bc8,camel,17,0.6,0.6
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,18,0.4,0.6
726bd103a6749409a33a61a724305fe85a344bc8,camel,18,0.6,0.4
2ac341d32163788783add4faf3b12816e6b5118a,camel,18,0.4,0.6
3e3790365d9a807eedabd81392e4a76a818723de,camel,18,0.4,0.6
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,19,0.4,0.6
726bd103a6749409a33a61a724305fe85a344bc8,camel,19,0.6,0.4
bfdaa3821c71f9fa3a3ff85f56154995d98b18b5,flink,0,0.6,0.6
6bc6b225e55095eb8797db2903b0546410e7fdd9,flink,0,0.8,0.4
8efacf588cee45eb99a24628136ced308c4fb418,flink,0,0.6,0.4
e2a4f47ed8c95c7045f79bf9fe59cab39518710b,flink,0,0.6,0.6
6a0ada81e19a972b89556f1b4b0277508b7caa7a,flink,0,0.4,0.4
3a65e5acbcc29636b0ce1631815861089fc21dca,flink,0,0.6,0.4
ac6e5c9a03177ad18899e27c8877efb0c9211842,flink,0,0.6,0.4
b1f3408f4cc5cca4536fe85300efcd5267eba73a,flink,0,0.6,0.4
67bf467a10f68a26ad573d5426c307f0402423bd,flink,0,0.6,0.4
3f0ac26e9f502f9e032af0375d52c5e4af2126f3,flink,0,0.6,0.4
bf0846fc61d38d56a6d0bd690dff64f8ac0a7082,flink,0,0.6,0.6
1ceb89a979d560944e1099fa4700e46c09a79484,flink,0,0.6,0.4
8dfb9d00653271ea4adbeb752da8f62d7647b6d8,flink,0,0.6,0.6
59eab45458b3b1637ccbc5dafd326cc84ffb9655,flink,0,0.6,0.4
2cb37cb937c6f225ad7afe829a28a6eda043ffc1,flink,0,0.6,0.4
d53a722e769e8ff6009d53208bf6702ec3e4a6f5,flink,0,0.6,0.4
e2a4f47ed8c95c7045f79bf9fe59cab39518710b,flink,1,0.6,0.6
6a0ada81e19a972b89556f1b4b0277508b7caa7a,flink,1,0.4,0.4
3a65e5acbcc29636b0ce1631815861089fc21dca,flink,1,0.6,0.4
ac6e5c9a03177ad18899e27c8877efb0c9211842,flink,1,0.6,0.4
789ed8a8246d140e1621a5860645a747132d6618,flink,1,0.6,0.6
d4f73391708bdfe466a5c3c771bb02f0fc3e1d03,flink,1,0.6,0.2
b1f3408f4cc5cca4536fe85300efcd5267eba73a,flink,1,0.6,0.4
67bf467a10f68a26ad573d5426c307f0402423bd,flink,1,0.6,0.4
3f0ac26e9f502f9e032af0375d52c5e4af2126f3,flink,1,0.6,0.2
bf0846fc61d38d56a6d0bd690dff64f8ac0a7082,flink,1,0.6,0.6
8dfb9d00653271ea4adbeb752da8f62d7647b6d8,flink,1,0.4,0.6
59eab45458b3b1637ccbc5dafd326cc84ffb9655,flink,1,0.6,0.2
2cb37cb937c6f225ad7afe829a28a6eda043ffc1,flink,1,0.6,0.4
d53a722e769e8ff6009d53208bf6702ec3e4a6f5,flink,1,0.6,0.4
99c07d967a7a27ce06ded601cbc4c36d1b6702e2,flink,1,0.6,0.4
57ec03ed3dc6ce3fbb563d3274b032945ba53510,flink,1,0.6,0.4
8bb9aa4ed96f8f9fd189f67db869f177f7231e84,flink,1,0.6,0.2
78df079bec8e63361f246fc698e0787ba232f083,flink,1,0.6,0.2
3a65e5acbcc29636b0ce1631815861089fc21dca,flink,2,0.6,0.4
d4f73391708bdfe466a5c3c771bb02f0fc3e1d03,flink,2,0.6,0.2
67bf467a10f68a26ad573d5426c307f0402423bd,flink,2,0.6,0.2
3f0ac26e9f502f9e032af0375d52c5e4af2126f3,flink,2,0.6,0.2
bf0846fc61d38d56a6d0bd690dff64f8ac0a7082,flink,2,0.6,0.6
1ceb89a979d560944e1099fa4700e46c09a79484,flink,2,0.6,0.4
8dfb9d00653271ea4adbeb752da8f62d7647b6d8,flink,2,0.6,0.6
59eab45458b3b1637ccbc5dafd326cc84ffb9655,flink,2,0.6,0.2
